Expression,Left Eye Height,Right Eye Height,Left Eyebrow Height,Right Eyebrow Height,LeftEyebrow to Eye Distance,RightEyebrow to Eye Distance,MouthHeight,Timestamp
Scared,14.142136,13.152946,16.124515,15.811388,56.859476,51.351728,33.457308,19.588000ms,
Scared,14.035669,13.038405,16.124515,17.088007,56.859476,51.478151,32.000000,19.714000ms,
Scared,14.317821,14.142136,17.262677,16.155494,56.859476,53.235327,22.000000,19.829000ms,
Sad,15.033296,13.152946,16.031220,14.866069,55.217751,51.478151,9.539523,19.984000ms,
Sad,15.033296,14.142136,16.278821,14.866069,54.644304,50.635956,9.540320,20.126000ms,
Sad,15.033296,15.132746,16.278821,13.928388,54.405882,48.507731,9.535576,20.237000ms,
Doubt,15.033296,15.033296,16.124515,13.928388,53.535035,51.623638,8.473215,20.391000ms,
Doubt,16.031220,14.035669,16.031220,15.231546,54.918121,53.600373,7.000000,20.517000ms,
Doubt,16.031220,14.142136,17.117243,15.811388,54.918121,52.469038,6.000000,20.653000ms,
Doubt,17.029386,14.142136,17.117243,15.811388,54.918121,52.469038,6.000000,20.777000ms,
Doubt,16.124515,16.031220,16.124515,14.317821,54.918121,51.623638,6.000000,20.938000ms,
Doubt,16.124515,15.033296,17.117243,15.231546,55.758407,53.600373,7.000000,21.061000ms,
Doubt,16.124515,15.297059,17.117243,15.811388,54.083269,52.469038,7.000000,21.217000ms,
Doubt,16.031220,14.317821,16.031220,15.811388,54.918121,52.469038,7.478761,21.350000ms,
Doubt,17.117243,15.132746,17.117243,14.866069,54.918121,52.469038,8.478707,21.481000ms,
Doubt,15.297059,15.132746,17.117243,16.492423,55.470713,51.623638,8.000000,21.602000ms,
Doubt,15.297059,16.124515,16.031220,14.560220,54.644304,50.635956,8.000000,21.734000ms,
Doubt,16.031220,15.033296,16.278821,14.560220,54.644304,50.635956,8.473777,21.851000ms,
Doubt,15.132746,16.124515,17.029386,16.492423,54.918121,52.611786,7.463521,22.007000ms,
Doubt,15.033296,15.033296,17.029386,14.866069,54.378304,53.600373,8.000000,22.127000ms,
Doubt,15.132746,15.033296,16.031220,13.928388,55.470713,51.788030,8.463468,22.247000ms,
Doubt,15.132746,15.033296,16.031220,13.928388,55.470713,51.788030,8.468291,22.358000ms,
Doubt,15.132746,15.132746,16.031220,14.866069,53.535035,50.358713,8.463468,22.498000ms,
Doubt,15.132746,16.031220,17.029386,14.866069,55.470713,50.635956,8.464215,22.661000ms,
Sad,16.000000,14.035669,17.117243,14.866069,51.865210,49.648766,10.000000,22.764000ms,
Sad,14.000000,13.038405,16.278821,15.231546,54.378304,50.358713,12.467365,22.932000ms,
